SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,7655,7655,0,0,0.0,712,712,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0.0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0.0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,0,32,0,0.0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,208,186,22,0,0.0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,485,285,194,6,0.0,0,0,0,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,359,118,237,4,0.0,0,0,0,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,387,153,229,5,0.0,0,0,0,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,642,198,435,9,0.0,0,0,0,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,757,350,380,27,0.0,0,0,0,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,1036,342,664,30,0.0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,1159,567,592,0,0.0,0,0,0,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,103,17,86,0,0.0,0,0,0,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,412,187,221,4,0.0,0,0,0,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,55,37,18,0,0.0,0,0,0,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,220,108,111,1,0.0,0,0,0,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,73,54,19,0,0.0,0,0,0,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,301,240,61,0,0.0,0,0,0,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,257,142,115,0,0.0,0,0,0,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0.0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,57,57,0,0,0.0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0.0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,9,9,0,0,0.0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0.0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0.0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0.0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,0,0,0,0,0.0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,3,2,1,0,0.0,0,0,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,1,1,0,0,0.0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,2,2,0,0,0.0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,0,0,0,0,0.0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,0,0,0,0,0.0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,3,1,2,0,0.0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,1,0,1,0,0.0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,10,8,2,0,0.0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0.0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,0,0,0,0,0.0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,1,1,0,0,0.0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,2,2,0,0,0.0,0,0,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,0,0,0,0,0.0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,1,0,1,0,0.0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,0,0,0,0,0.0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,4,4,0,0,0.0,0,0,0,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,1,1,0,0,0.0,0,0,0,0,,
0,AS,Assam,AS_Airport Quarantine,Airport Quarantine,4,4,0,0,0.0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,25,25,0,0,0.0,0,0,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,121,66,55,0,0.0,0,0,0,0,,
44,AS,Assam,AS_Biswanath,Biswanath,54,38,16,0,0.0,0,0,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,20,13,7,0,0.0,0,0,0,0,,
46,AS,Assam,AS_Cachar,Cachar,91,9,82,0,0.0,0,0,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,15,15,0,0,0.0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,41,41,0,0,0.0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,102,102,0,0,0.0,0,0,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,84,78,6,0,0.0,0,0,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,323,318,5,0,0.0,0,0,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,57,52,5,0,0.0,0,0,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,88,79,9,0,0.0,0,0,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,57,38,4,0,0.0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,242,154,88,0,0.0,0,0,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,52,46,5,1,0.0,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,266,266,0,0,0.0,0,0,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,94,40,54,0,0.0,0,0,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,206,185,21,0,0.0,0,0,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,564,221,339,4,0.0,0,0,0,0,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,18,11,7,0,0.0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,86,66,20,0,0.0,0,0,0,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,73,63,10,0,0.0,0,0,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,79,73,6,0,0.0,0,0,0,0,,
65,AS,Assam,AS_Majuli,Majuli,16,16,0,0,0.0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,49,21,28,0,0.0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,276,251,25,0,0.0,0,0,0,0,,
