district,districtcode,lastupdated,source,state,statecode,zone
Nicobars,AN_Nicobars,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andaman and Nicobar Islands,AN,Green
North and Middle Andaman,AN_North and Middle Andaman,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andaman and Nicobar Islands,AN,Green
South Andaman,AN_South Andaman,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andaman and Nicobar Islands,AN,Red
Anantapur,AP_Anantapur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andhra Pradesh,AP,Orange
Chittoor,AP_Chittoor,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andhra Pradesh,AP,Red
East Godavari,AP_East Godavari,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andhra Pradesh,AP,Orange
Guntur,AP_Guntur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andhra Pradesh,AP,Red
Krishna,AP_Krishna,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andhra Pradesh,AP,Red
Kurnool,AP_Kurnool,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andhra Pradesh,AP,Red
Prakasam,AP_Prakasam,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andhra Pradesh,AP,Orange
S.P.S. Nellore,AP_S.P.S. Nellore,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andhra Pradesh,AP,Red
Srikakulam,AP_Srikakulam,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andhra Pradesh,AP,Orange
Visakhapatnam,AP_Visakhapatnam,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andhra Pradesh,AP,Orange
Vizianagaram,AP_Vizianagaram,07/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andhra Pradesh,AP,Orange
West Godavari,AP_West Godavari,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andhra Pradesh,AP,Orange
Y.S.R. Kadapa,AP_Y.S.R. Kadapa,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Andhra Pradesh,AP,Orange
Anjaw,AR_Anjaw,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Arunachal Pradesh,AR,Green
Changlang,AR_Changlang,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Arunachal Pradesh,AR,Green
East Kameng,AR_East Kameng,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Arunachal Pradesh,AR,Green
East Siang,AR_East Siang,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Arunachal Pradesh,AR,Green
Kamle,AR_Kamle,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Arunachal Pradesh,AR,Green
Kra Daadi,AR_Kra Daadi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Arunachal Pradesh,AR,Green
